CODIGO;NOME;LOJA;NOME_FANTASIA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - VIX;USINA SANTA ISABEL LTDA;11.0;670.8;3.875
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - STT;USINA SANTA ISABEL LTDA;223.0;685.2;475.83333333333337
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - SMJ;USINA SANTA ISABEL LTDA;79.0;721.0;303.95833333333337
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - SMJ;COTACAO - MERCEARIA;374.0;294.6;54.5
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - VIX;COTACAO - MERCEARIA;73.0;279.6;63.916666666666664
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - STT;COTACAO - MERCEARIA;174.0;309.2;179.58333333333331
10045;ARROZ CACAROLA PARB TI 6X5KG;TRESMANN - SMJ;COTACAO - ARROZ;71.0;241.8;74.16666666666666
10045;ARROZ CACAROLA PARB TI 6X5KG;TRESMANN - STT;COTACAO - ARROZ;115.0;230.2;68.20833333333334
10054;ARROZ PALMARES I 30X1KG;TRESMANN - STT;COTACAO - ARROZ;6.0;307.6;65.91666666666667
10054;ARROZ PALMARES I 30X1KG;TRESMANN - VIX;COTACAO - ARROZ;28.0;210.4;29.416666666666668
10054;ARROZ PALMARES I 30X1KG;TRESMANN - SMJ;COTACAO - ARROZ;100.0;321.0;49.583333333333336
10055;ARROZ PALMARES I 6X5KG;TRESMANN - SMJ;COTACAO - ARROZ;213.0;308.2;31.833333333333332
10055;ARROZ PALMARES I 6X5KG;TRESMANN - STT;COTACAO - ARROZ;35.0;308.6;35.291666666666664
10056;ARROZ PALMARES II 30X1KG;TRESMANN - VIX;COTACAO - ARROZ;39.0;205.0;32.41666666666667
10056;ARROZ PALMARES II 30X1KG;TRESMANN - SMJ;COTACAO - ARROZ;21.0;317.0;60.375
10056;ARROZ PALMARES II 30X1KG;TRESMANN - STT;COTACAO - ARROZ;0.0;288.4;28.791666666666668
10057;ARROZ PALMARES II 6X5KG;TRESMANN - SMJ;COTACAO - ARROZ;97.0;337.2;14.291666666666668
10057;ARROZ PALMARES II 6X5KG;TRESMANN - STT;COTACAO - ARROZ;14.0;306.8;24.333333333333332
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - SMJ;COTACAO - ARROZ;507.0;361.4;38.45833333333333
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - VIX;COTACAO - ARROZ;10.0;302.4;7.208333333333333
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - STT;COTACAO - ARROZ;197.0;333.6;132.625
10062;ARROZ SEPE PARBOILIZADO T1 6X5KG;TRESMANN - SMJ;COTACAO - ARROZ;132.0;257.2;20.291666666666664
10062;ARROZ SEPE PARBOILIZADO T1 6X5KG;TRESMANN - STT;COTACAO - ARROZ;23.0;269.8;30.666666666666664
10070;AGUARDENTE DOMADA 12X900ML;TRESMANN - STT;CACHACA DOMADA AGROINDUSTRIA L;16.0;1052.4;10.291666666666668
10070;AGUARDENTE DOMADA 12X900ML;TRESMANN - SMJ;CACHACA DOMADA AGROINDUSTRIA L;41.0;1887.8;10.666666666666668
10077;AGUA MINERAL CAMPINHO 12X500ML;TRESMANN - STT;COMERCIAL AGE LTDA ME;203.0;248.4;104.41666666666666
10077;AGUA MINERAL CAMPINHO 12X500ML;TRESMANN - SMJ;COMERCIAL AGE LTDA ME;106.0;237.6;155.375
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - VIX;PEDRA AZUL;15.0;157.8;9.791666666666668
