CODIGO;NOME;LOJA;ESTOQUE ATUAL;VCTO_MEDIO;VENDA MEDIA
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - VIX;28.0;687.8;31.0
10035;ACUCAR CRISTAL SANTA ISABEL 10X2KG;TRESMANN - STT;431.0;682.6;261.7083333333333
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - STT;945.0;685.2;403.375
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - SMJ;543.0;721.0;240.70833333333334
10036;ACUCAR CRISTAL SANTA ISABEL 6X5KG;TRESMANN - VIX;5.0;704.2;4.875
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - SMJ;157.0;338.0;52.375
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - STT;208.0;359.6;164.54166666666669
10041;ACUCAR REFINADO UNIAO 10X1KG;TRESMANN - VIX;76.0;319.6;90.79166666666666
10045;ARROZ CACAROLA PARB TI 6X5KG;TRESMANN - STT;1.0;286.0;68.16666666666666
10045;ARROZ CACAROLA PARB TI 6X5KG;TRESMANN - SMJ;1.0;266.2;53.708333333333336
10054;ARROZ PALMARES I 30X1KG;TRESMANN - VIX;9.0;241.2;45.875
10054;ARROZ PALMARES I 30X1KG;TRESMANN - STT;7.0;280.8;79.125
10054;ARROZ PALMARES I 30X1KG;TRESMANN - SMJ;0.0;322.0;59.458333333333336
10055;ARROZ PALMARES I 6X5KG;TRESMANN - STT;0.0;282.2;12.875
10055;ARROZ PALMARES I 6X5KG;TRESMANN - SMJ;7.0;257.0;19.166666666666668
10056;ARROZ PALMARES II 30X1KG;TRESMANN - VIX;35.0;231.4;44.08333333333333
10056;ARROZ PALMARES II 30X1KG;TRESMANN - SMJ;2.0;312.8;92.04166666666666
10056;ARROZ PALMARES II 30X1KG;TRESMANN - STT;22.0;261.2;43.375
10057;ARROZ PALMARES II 6X5KG;TRESMANN - SMJ;0.0;316.6;5.291666666666667
10057;ARROZ PALMARES II 6X5KG;TRESMANN - STT;1.0;295.8;5.666666666666667
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - SMJ;94.0;361.4;24.875
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - VIX;21.0;320.4;9.166666666666668
10060;ARROZ SEPE BIANCO I 6X5KG;TRESMANN - STT;0.0;204.2;74.16666666666667
10062;ARROZ SEPE PARBOILIZADO T1 6X5KG;TRESMANN - SMJ;1.0;299.0;8.916666666666666
10062;ARROZ SEPE PARBOILIZADO T1 6X5KG;TRESMANN - STT;1.0;288.2;15.333333333333334
10070;AGUARDENTE DOMADA 12X900ML;TRESMANN - STT;31.0;1052.4;12.416666666666668
10070;AGUARDENTE DOMADA 12X900ML;TRESMANN - SMJ;10.0;1924.2;7.958333333333333
10077;AGUA MINERAL CAMPINHO 12X500ML;TRESMANN - STT;220.0;252.8;155.58333333333334
10077;AGUA MINERAL CAMPINHO 12X500ML;TRESMANN - SMJ;40.0;262.8;176.0
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - VIX;13.0;157.6;14.0
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - STT;1.0;365.8;10.75
10082;AGUA MINERAL PEDRA AZUL SPORT S/GAS 12X510ML;TRESMANN - SMJ;47.0;258.8;33.0
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - STT;93.0;154.0;129.08333333333334
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - VIX;43.0;250.8;91.25
10083;AGUA TONICA ANTARCTICA LT 12X350ML;TRESMANN - SMJ;48.0;225.8;14.125
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - STT;7.0;134.4;50.16666666666667
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - VIX;21.0;126.4;38.375
10084;AGUA TONICA SCHWEPPES 6X350ML;TRESMANN - SMJ;36.0;135.0;3.0833333333333335
10092;AGUARDENTE OURO CANA 12X900ML;TRESMANN - SMJ;31.0;2089.2;17.416666666666664
10092;AGUARDENTE OURO CANA 12X900ML;TRESMANN - STT;36.0;934.2;30.375
10093;AGUARDENTE PIRASSUNUNGA 51 12X965ML;TRESMANN - SMJ;27.0;1638.6;3.5
10093;AGUARDENTE PIRASSUNUNGA 51 12X965ML;TRESMANN - STT;2.0;721.8;7.625
10095;AGUARDENTE VELHO BARREIRO 12X910ML;TRESMANN - SMJ;20.0;1487.0;10.5
10095;AGUARDENTE VELHO BARREIRO 12X910ML;TRESMANN - STT;7.0;668.8;5.25
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - VIX;47.0;224.2;56.29166666666667
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - STT;17.0;246.0;461.4583333333333
10097;OLEO SOJA SOYA PET 20X900ML;TRESMANN - SMJ;130.0;245.4;351.3333333333333
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - STT;192.0;572.0;63.625
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - SMJ;490.0;488.0;33.708333333333336
10100;SAL GLOBO GRIL P/CHURRASCO 30X1KG;TRESMANN - VIX;28.0;494.6;24.0
10103;BATIDA REGGIANI AMENDOIM 6X900ML;TRESMANN - SMJ;7.0;694.8;2.083333333333333
10103;BATIDA REGGIANI AMENDOIM 6X900ML;TRESMANN - STT;8.0;710.2;3.791666666666667
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - SMJ;3376.0;584.0;407.58333333333337
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - VIX;105.0;572.6;94.54166666666666
10104;SAL GLOBO REFINADO 30X1KG;TRESMANN - STT;1333.0;525.0;679.625
10106;BATIDA REGGIANI CANELA 6X900ML;TRESMANN - SMJ;11.0;686.2;1.8333333333333335
10106;BATIDA REGGIANI CANELA 6X900ML;TRESMANN - STT;12.0;580.6;1.8333333333333333
10110;BITTER REGGIANI 12X900ML;TRESMANN - STT;6.0;679.8;0.4166666666666667
10110;BITTER REGGIANI 12X900ML;TRESMANN - SMJ;10.0;365.6;0.5833333333333334
10118;TRIGO N1 C/ FERMENTO 10X1KG;TRESMANN - STT;0.0;95.2;13.458333333333332
10118;TRIGO N1 C/ FERMENTO 10X1KG;TRESMANN - SMJ;157.0;103.8;19.333333333333332
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - STT;1145.0;125.0;849.2083333333333
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - VIX;43.0;112.0;74.54166666666666
10120;TRIGO REGINA PAPEL 10X1KG;TRESMANN - SMJ;2047.0;137.2;396.8333333333333
10122;CAMPARI 12X900ML;TRESMANN - SMJ;2.0;1789.8;2.375
10122;CAMPARI 12X900ML;TRESMANN - VIX;0.0;1156.4;2.5
10122;CAMPARI 12X900ML;TRESMANN - STT;0.0;660.6;5.291666666666666
10123;CATUABA REGGIANI 12X900ML;TRESMANN - STT;18.0;555.6;5.916666666666666
10123;CATUABA REGGIANI 12X900ML;TRESMANN - SMJ;87.0;698.2;10.833333333333332
10131;CERVEJA SKOL CARACU LONG NECK 6X355ML;TRESMANN - SMJ;19.0;162.4;8.916666666666668
10131;CERVEJA SKOL CARACU LONG NECK 6X355ML;TRESMANN - STT;0.0;104.8;0.0
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - STT;58.0;179.8;21.25
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - SMJ;56.0;200.4;8.958333333333332
10133;CERVEJA SKOL LATA 12X350ML;TRESMANN - VIX;58.0;212.8;51.25
10137;CONHAQUE DREHER 12X900ML;TRESMANN - STT;10.0;1019.4;7.375
10137;CONHAQUE DREHER 12X900ML;TRESMANN - VIX;5.0;1756.0;0.3333333333333333
10137;CONHAQUE DREHER 12X900ML;TRESMANN - SMJ;8.0;1257.4;2.25
10140;FERNET THOQUINO 6X900ML;TRESMANN - SMJ;5.0;876.2;0.5416666666666666
10140;FERNET THOQUINO 6X900ML;TRESMANN - STT;3.0;657.0;0.16666666666666666
10142;GIN SEARGERS 980ML;TRESMANN - STT;5.0;1161.6;1.1666666666666665
10142;GIN SEARGERS 980ML;TRESMANN - SMJ;6.0;1604.8;0.25
10142;GIN SEARGERS 980ML;TRESMANN - VIX;4.0;1038.2;1.6666666666666665
10144;ICE OFF LEMON 12X275ML;TRESMANN - SMJ;199.0;177.6;166.125
